Número total de Estabelecimentos ou Unidades Locais - Comércio, Serviços
Sigla,Código,Município,1995,
AC,1200013,Acrelândia,19,
AC,1200054,Assis Brasil,16,
AC,1200104,Brasiléia,146,
AC,1200138,Bujari,7,
AC,1200179,Capixaba,6,
AC,1200203,Cruzeiro do Sul,407,
AC,1200252,Epitaciolândia,73,
AC,1200302,Feijó,54,
AC,1200328,Jordão,0,
AC,1200336,Mâncio Lima,11,
AC,1200344,Manoel Urbano,13,
AC,1200351,Marechal Thaumaturgo,0,
AC,1200385,Plácido de Castro,116,
AC,1200393,Porto Walter,5,
AC,1200401,Rio Branco,2939,
AC,1200427,Rodrigues Alves,6,
AC,1200435,Santa Rosa do Purus,2,
AC,1200450,Senador Guiomard,72,
AC,1200500,Sena Madureira,153,
AC,1200609,Tarauacá,43,
AC,1200708,Xapuri,63,
AC,1200807,Porto Acre,4,
AL,2700102,Água Branca,73,
AL,2700201,Anadia,106,
AL,2700300,Arapiraca,1840,
AL,2700409,Atalaia,108,
AL,2700508,Barra de Santo Antônio,22,
AL,2700607,Barra de São Miguel,52,
AL,2700706,Batalha,81,
AL,2700805,Belém,123,
AL,2700904,Belo Monte,3,
AL,2701001,Boca da Mata,170,
AL,2701100,Branquinha,17,
AL,2701209,Cacimbinhas,24,
AL,2701308,Cajueiro,52,
AL,2701357,Campestre,,
AL,2701407,Campo Alegre,51,
AL,2701506,Campo Grande,20,
AL,2701605,Canapi,46,
AL,2701704,Capela,76,
AL,2701803,Carneiros,14,
AL,2701902,Chã Preta,14,
AL,2702009,Coité do Nóia,19,
AL,2702108,Colônia Leopoldina,74,
AL,2702207,Coqueiro Seco,12,
AL,2702306,Coruripe,155,
AL,2702355,Craíbas,21,
AL,2702405,Delmiro Gouveia,279,
AL,2702504,Dois Riachos,49,
AL,2702553,Estrela de Alagoas,25,
AL,2702603,Feira Grande,31,
AL,2702702,Feliz Deserto,9,
AL,2702801,Flexeiras,29,
AL,2702900,Girau do Ponciano,70,
AL,2703007,Ibateguara,48,
AL,2703106,Igaci,47,
AL,2703205,Igreja Nova,23,
AL,2703304,Inhapi,71,
AL,2703403,Jacaré dos Homens,11,
AL,2703502,Jacuípe,11,
AL,2703601,Japaratinga,15,
AL,2703700,Jaramataia,7,
AL,2703759,Jequiá da Praia,,
AL,2703809,Joaquim Gomes,55,
AL,2703908,Jundiá,20,
AL,2704005,Junqueiro,43,
AL,2704104,Lagoa da Canoa,16,
AL,2704203,Limoeiro de Anadia,47,
AL,2704302,Maceió,9201,
AL,2704401,Major Isidoro,107,
AL,2704500,Maragogi,86,
AL,2704609,Maravilha,17,
AL,2704708,Marechal Deodoro,181,
AL,2704807,Maribondo,97,
AL,2704906,Mar Vermelho,1,
AL,2705002,Mata Grande,86,
AL,2705101,Matriz de Camaragibe,75,
AL,2705200,Messias,58,
AL,2705309,Minador do Negrão,27,
AL,2705408,Monteirópolis,12,
AL,2705507,Murici,82,
AL,2705606,Novo Lino,31,
AL,2705705,Olho d'Água das Flores,140,
AL,2705804,Olho d'Água do Casado,5,
AL,2705903,Olho d'Água Grande,5,
AL,2706000,Olivença,28,
AL,2706109,Ouro Branco,35,
AL,2706208,Palestina,3,
AL,2706307,Palmeira dos Índios,657,
AL,2706406,Pão de Açúcar,79,
AL,2706422,Pariconha,10,
AL,2706448,Paripueira,23,
AL,2706505,Passo de Camaragibe,20,
AL,2706604,Paulo Jacinto,29,
AL,2706703,Penedo,464,
AL,2706802,Piaçabuçu,62,
AL,2706901,Pilar,87,
AL,2707008,Pindoba,4,
AL,2707107,Piranhas,73,
AL,2707206,Poço das Trincheiras,7,
AL,2707305,Porto Calvo,138,
AL,2707404,Porto de Pedras,22,
AL,2707503,Porto Real do Colégio,27,
AL,2707602,Quebrangulo,31,
AL,2707701,Rio Largo,261,
AL,2707800,Roteiro,9,
AL,2707909,Santa Luzia do Norte,19,
AL,2708006,Santana do Ipanema,277,
AL,2708105,Santana do Mundaú,30,
AL,2708204,São Brás,23,
AL,2708303,São José da Laje,95,
AL,2708402,São José da Tapera,38,
AL,2708501,São Luís do Quitunde,68,
AL,2708600,São Miguel dos Campos,316,
AL,2708709,São Miguel dos Milagres,10,
AL,2708808,São Sebastião,81,
AL,2708907,Satuba,72,
AL,2708956,Senador Rui Palmeira,19,
AL,2709004,Tanque d'Arca,10,
AL,2709103,Taquarana,42,
AL,2709152,Teotônio Vilela,83,
AL,2709202,Traipu,27,
AL,2709301,União dos Palmares,317,
AL,2709400,Viçosa,146,
AM,1300029,Alvarães,2,
AM,1300060,Amaturá,4,
AM,1300086,Anamã,12,
AM,1300102,Anori,37,
AM,1300144,Apuí,49,
AM,1300201,Atalaia do Norte,3,
AM,1300300,Autazes,20,
AM,1300409,Barcelos,4,
AM,1300508,Barreirinha,4,
AM,1300607,Benjamin Constant,47,
AM,1300631,Beruri,34,
AM,1300680,Boa Vista do Ramos,6,
AM,1300706,Boca do Acre,50,
AM,1300805,Borba,18,
AM,1300839,Caapiranga,6,
AM,1300904,Canutama,1,
AM,1301001,Carauari,6,
AM,1301100,Careiro,14,
AM,1301159,Careiro da Várzea,1,
AM,1301209,Coari,135,
AM,1301308,Codajás,22,
AM,1301407,Eirunepé,14,
AM,1301506,Envira,10,
AM,1301605,Fonte Boa,1,
AM,1301654,Guajará,1,
AM,1301704,Humaitá,166,
AM,1301803,Ipixuna,1,
AM,1301852,Iranduba,24,
AM,1301902,Itacoatiara,419,
AM,1301951,Itamarati,2,
AM,1302009,Itapiranga,31,
AM,1302108,Japurá,2,
AM,1302207,Juruá,3,
AM,1302306,Jutaí,14,
AM,1302405,Lábrea,38,
AM,1302504,Manacapuru,284,
AM,1302553,Manaquiri,7,
AM,1302603,Manaus,10673,
AM,1302702,Manicoré,116,
AM,1302801,Maraã,1,
AM,1302900,Maués,64,
AM,1303007,Nhamundá,14,
AM,1303106,Nova Olinda do Norte,13,
AM,1303205,Novo Airão,24,
AM,1303304,Novo Aripuanã,3,
AM,1303403,Parintins,275,
AM,1303502,Pauini,0,
AM,1303536,Presidente Figueiredo,87,
AM,1303569,Rio Preto da Eva,32,
AM,1303601,Santa Isabel do Rio Negro,8,
AM,1303700,Santo Antônio do Içá,7,
AM,1303809,São Gabriel da Cachoeira,27,
AM,1303908,São Paulo de Olivença,12,
AM,1303957,São Sebastião do Uatumã,3,
AM,1304005,Silves,7,
AM,1304062,Tabatinga,91,
AM,1304104,Tapauá,8,
AM,1304203,Tefé,171,
AM,1304237,Tonantins,2,
AM,1304260,Uarini,2,
AM,1304302,Urucará,9,
AM,1304401,Urucurituba,14,
AP,1600055,Serra do Navio,16,
AP,1600105,Amapá,37,
