Número total de Estabelecimentos ou Unidades Locais - Industria
Sigla,Código,Município,1970,1975,1980,1985,1995,
AC,1200013,Acrelândia,,,,,6,
AC,1200054,Assis Brasil,,,1,8,1,
AC,1200104,Brasiléia,8,11,6,12,16,
AC,1200138,Bujari,,,,,0,
AC,1200179,Capixaba,,,,,3,
AC,1200203,Cruzeiro do Sul,44,26,40,45,63,
AC,1200252,Epitaciolândia,,,,,11,
AC,1200302,Feijó,16,11,5,9,1,
AC,1200328,Jordão,,,,,0,
AC,1200336,Mâncio Lima,,,3,4,3,
AC,1200344,Manoel Urbano,,,4,2,5,
AC,1200351,Marechal Thaumaturgo,,,,,0,
AC,1200385,Plácido de Castro,,,10,4,19,
AC,1200393,Porto Walter,,,,,0,
AC,1200401,Rio Branco,51,49,115,112,334,
AC,1200427,Rodrigues Alves,,,,,0,
AC,1200435,Santa Rosa do Purus,,,,,1,
AC,1200450,Senador Guiomard,,,7,8,8,
AC,1200500,Sena Madureira,32,45,17,25,16,
AC,1200609,Tarauacá,10,9,15,26,6,
AC,1200708,Xapuri,11,14,8,4,5,
AC,1200807,Porto Acre,,,,,7,
AL,2700102,Água Branca,41,30,23,12,5,
AL,2700201,Anadia,6,15,9,7,11,
AL,2700300,Arapiraca,75,109,163,161,191,
AL,2700409,Atalaia,26,34,28,32,12,
AL,2700508,Barra de Santo Antônio,10,5,11,3,3,
AL,2700607,Barra de São Miguel,1,,,1,6,
AL,2700706,Batalha,17,19,17,7,10,
AL,2700805,Belém,1,2,1,2,16,
AL,2700904,Belo Monte,4,4,5,2,1,
AL,2701001,Boca da Mata,8,8,10,15,8,
AL,2701100,Branquinha,4,8,7,4,2,
AL,2701209,Cacimbinhas,8,14,9,8,0,
AL,2701308,Cajueiro,4,3,9,10,6,
AL,2701357,Campestre,,,,,,
AL,2701407,Campo Alegre,3,4,12,8,7,
AL,2701506,Campo Grande,,4,1,5,0,
AL,2701605,Canapi,2,3,10,1,4,
AL,2701704,Capela,5,12,13,10,5,
AL,2701803,Carneiros,4,2,3,3,0,
AL,2701902,Chã Preta,2,1,2,1,1,
AL,2702009,Coité do Nóia,,,1,1,0,
AL,2702108,Colônia Leopoldina,8,7,25,13,7,
AL,2702207,Coqueiro Seco,1,1,2,3,2,
AL,2702306,Coruripe,17,8,16,23,21,
AL,2702355,Craíbas,,,,4,1,
AL,2702405,Delmiro Gouveia,10,25,24,66,9,
AL,2702504,Dois Riachos,3,7,10,4,0,
AL,2702553,Estrela de Alagoas,,,,,1,
AL,2702603,Feira Grande,,5,2,3,1,
AL,2702702,Feliz Deserto,2,,2,1,0,
AL,2702801,Flexeiras,6,12,6,10,4,
AL,2702900,Girau do Ponciano,4,3,7,2,1,
AL,2703007,Ibateguara,12,15,13,10,2,
AL,2703106,Igaci,16,8,6,8,2,
AL,2703205,Igreja Nova,5,6,,4,4,
AL,2703304,Inhapi,4,2,3,1,2,
AL,2703403,Jacaré dos Homens,1,3,7,5,0,
AL,2703502,Jacuípe,3,2,2,1,2,
AL,2703601,Japaratinga,1,2,2,3,3,
AL,2703700,Jaramataia,5,1,4,1,3,
AL,2703759,Jequiá da Praia,,,,,,
AL,2703809,Joaquim Gomes,3,8,9,21,6,
AL,2703908,Jundiá,8,2,5,6,0,
AL,2704005,Junqueiro,4,11,5,14,10,
AL,2704104,Lagoa da Canoa,2,2,4,8,2,
AL,2704203,Limoeiro de Anadia,3,4,5,1,3,
AL,2704302,Maceió,318,312,438,405,903,
AL,2704401,Major Isidoro,18,38,27,23,20,
AL,2704500,Maragogi,6,3,2,2,8,
AL,2704609,Maravilha,3,7,4,3,1,
AL,2704708,Marechal Deodoro,13,7,10,5,15,
AL,2704807,Maribondo,5,16,16,21,5,
AL,2704906,Mar Vermelho,,,1,,2,
AL,2705002,Mata Grande,5,8,6,2,5,
AL,2705101,Matriz de Camaragibe,9,12,29,30,7,
AL,2705200,Messias,4,4,4,2,7,
AL,2705309,Minador do Negrão,3,4,4,5,2,
AL,2705408,Monteirópolis,2,6,5,2,1,
AL,2705507,Murici,18,38,34,15,10,
AL,2705606,Novo Lino,3,2,5,3,2,
AL,2705705,Olho d'Água das Flores,9,8,13,6,3,
AL,2705804,Olho d'Água do Casado,1,1,,,0,
AL,2705903,Olho d'Água Grande,1,3,,,0,
AL,2706000,Olivença,5,3,5,8,1,
AL,2706109,Ouro Branco,5,3,4,5,4,
AL,2706208,Palestina,2,9,17,1,0,
AL,2706307,Palmeira dos Índios,65,91,69,90,48,
AL,2706406,Pão de Açúcar,19,16,17,10,5,
AL,2706422,Pariconha,,,,,0,
AL,2706448,Paripueira,,,,,3,
AL,2706505,Passo de Camaragibe,10,6,9,6,2,
AL,2706604,Paulo Jacinto,11,3,4,8,2,
AL,2706703,Penedo,28,48,27,23,24,
AL,2706802,Piaçabuçu,7,9,9,12,5,
AL,2706901,Pilar,18,20,24,27,7,
AL,2707008,Pindoba,2,2,1,1,0,
AL,2707107,Piranhas,1,1,,3,2,
AL,2707206,Poço das Trincheiras,4,,4,2,0,
AL,2707305,Porto Calvo,19,10,11,23,10,
AL,2707404,Porto de Pedras,3,2,2,2,1,
AL,2707503,Porto Real do Colégio,6,3,3,1,5,
AL,2707602,Quebrangulo,18,19,6,17,4,
AL,2707701,Rio Largo,35,27,36,29,35,
AL,2707800,Roteiro,,,1,2,1,
AL,2707909,Santa Luzia do Norte,2,6,11,8,8,
AL,2708006,Santana do Ipanema,38,39,23,20,18,
AL,2708105,Santana do Mundaú,7,13,16,10,1,
AL,2708204,São Brás,2,,4,4,0,
AL,2708303,São José da Laje,16,22,24,8,7,
AL,2708402,São José da Tapera,3,5,13,7,2,
AL,2708501,São Luís do Quitunde,6,4,9,13,3,
AL,2708600,São Miguel dos Campos,39,31,43,40,31,
AL,2708709,São Miguel dos Milagres,2,2,1,1,2,
AL,2708808,São Sebastião,5,9,4,8,5,
AL,2708907,Satuba,49,28,12,10,5,
AL,2708956,Senador Rui Palmeira,,,,2,1,
AL,2709004,Tanque d'Arca,2,5,3,8,0,
AL,2709103,Taquarana,10,7,2,6,5,
AL,2709152,Teotônio Vilela,,,,,10,
AL,2709202,Traipu,11,10,10,4,0,
AL,2709301,União dos Palmares,36,53,38,29,22,
AL,2709400,Viçosa,28,18,19,17,11,
AM,1300029,Alvarães,,,,,1,
AM,1300060,Amaturá,,,,1,0,
AM,1300086,Anamã,,,,,0,
AM,1300102,Anori,5,2,4,7,1,
AM,1300144,Apuí,,,,,4,
AM,1300201,Atalaia do Norte,4,1,4,3,1,
AM,1300300,Autazes,7,7,4,4,0,
AM,1300409,Barcelos,21,7,6,8,0,
AM,1300508,Barreirinha,3,4,2,4,1,
AM,1300607,Benjamin Constant,19,4,21,10,2,
AM,1300631,Beruri,,,,2,1,
AM,1300680,Boa Vista do Ramos,,,,2,0,
AM,1300706,Boca do Acre,11,12,12,17,5,
AM,1300805,Borba,7,5,4,8,2,
AM,1300839,Caapiranga,,,,,0,
AM,1300904,Canutama,5,3,6,3,0,
AM,1301001,Carauari,,5,9,9,1,
AM,1301100,Careiro,13,7,4,6,3,
AM,1301159,Careiro da Várzea,,,,,0,
AM,1301209,Coari,13,14,19,25,16,
AM,1301308,Codajás,7,8,7,7,6,
AM,1301407,Eirunepé,5,5,9,8,0,
AM,1301506,Envira,,,,2,1,
AM,1301605,Fonte Boa,4,,6,3,1,
AM,1301654,Guajará,,,,,0,
AM,1301704,Humaitá,4,12,15,5,17,
AM,1301803,Ipixuna,2,4,3,1,0,
AM,1301852,Iranduba,,,,14,15,
AM,1301902,Itacoatiara,25,28,35,43,29,
AM,1301951,Itamarati,,,,,0,
AM,1302009,Itapiranga,4,7,3,2,2,
AM,1302108,Japurá,1,,,,0,
AM,1302207,Juruá,,,1,,0,
AM,1302306,Jutaí,1,,6,3,5,
AM,1302405,Lábrea,6,4,16,15,4,
AM,1302504,Manacapuru,30,36,12,24,25,
AM,1302553,Manaquiri,,,,1,1,
AM,1302603,Manaus,263,463,747,788,1405,
