Capital Humano
Sigla,Código,Município,1991,2000,
AC,1200013,Acrelândia,,312442.736455383,
AC,1200054,Assis Brasil,98308.0800710381,157770.857662506,
AC,1200104,Brasiléia,711899.437123145,811114.335766967,
AC,1200138,Bujari,,247662.134323331,
AC,1200179,Capixaba,,185630.671159257,
AC,1200203,Cruzeiro do Sul,2050711.80053239,3398081.5333718,
AC,1200252,Epitaciolândia,,494161.770395282,
AC,1200302,Feijó,441903.245861654,944413.114976553,
AC,1200328,Jordão,,112149.112384257,
AC,1200336,Mâncio Lima,261529.43795173,492843.476564544,
AC,1200344,Manoel Urbano,122686.17995326,241807.560473908,
AC,1200351,Marechal Thaumaturgo,,219994.736769549,
AC,1200385,Plácido de Castro,446083.056786171,693554.425138828,
AC,1200393,Porto Walter,,152793.390544227,
AC,1200401,Rio Branco,10295261.747237,17894036.2811012,
AC,1200427,Rodrigues Alves,,272920.59996144,
AC,1200435,Santa Rosa do Purus,,64745.7652606174,
AC,1200450,Senador Guiomard,545749.87996255,990092.716408393,
AC,1200500,Sena Madureira,657287.067216839,1258772.26305683,
AC,1200609,Tarauacá,632601.387402403,1011830.33675658,
AC,1200708,Xapuri,384521.859775193,533898.339980485,
AC,1200807,Porto Acre,,462949.48971999,
AL,2700102,Água Branca,709392.357330987,743530.900464023,
AL,2700201,Anadia,485264.570543707,796239.939947917,
AL,2700300,Arapiraca,6777088.19541855,10310557.8843576,
AL,2700409,Atalaia,1088463.8697421,1643236.85412874,
AL,2700508,Barra de Santo Antônio,418685.626961957,463822.925160633,
AL,2700607,Barra de São Miguel,144679.9280444,300865.196245492,
AL,2700706,Batalha,394602.349952686,611037.218987782,
AL,2700805,Belém,165176.400816088,268291.233731973,
AL,2700904,Belo Monte,174639.07555502,235651.02172369,
AL,2701001,Boca da Mata,707159.943127304,1125223.56241037,
AL,2701100,Branquinha,208481.295782707,386891.203050276,
AL,2701209,Cacimbinhas,393038.816500502,360793.885948749,
AL,2701308,Cajueiro,586286.822223266,778021.313584213,
AL,2701357,Campestre,,285760.141707426,
AL,2701407,Campo Alegre,1024517.59838906,1830088.79724771,
AL,2701506,Campo Grande,237579.913781675,297749.968733359,
AL,2701605,Canapi,418311.673784837,556164.843786394,
AL,2701704,Capela,527473.747556522,858112.239926812,
AL,2701803,Carneiros,153679.768601919,224638.954528601,
AL,2701902,Chã Preta,194687.164109948,307123.62578166,
AL,2702009,Coité do Nóia,254328.438167083,450908.516151772,
AL,2702108,Colônia Leopoldina,457218.817034798,758837.446161028,
AL,2702207,Coqueiro Seco,150246.151212975,245132.817575679,
AL,2702306,Coruripe,1510285.61877329,2314565.97005619,
AL,2702355,Craíbas,420309.456296512,707450.522421715,
AL,2702405,Delmiro Gouveia,1389532.01025259,1993337.80840407,
AL,2702504,Dois Riachos,269651.783197721,400998.693632196,
AL,2702553,Estrela de Alagoas,,603310.525387405,
AL,2702603,Feira Grande,499678.583394671,801972.715806807,
AL,2702702,Feliz Deserto,106641.062150774,159994.985901222,
AL,2702801,Flexeiras,301835.945239532,459722.709843145,
AL,2702900,Girau do Ponciano,744905.596803787,1098271.89029295,
AL,2703007,Ibateguara,386616.256919115,530558.260518916,
AL,2703106,Igaci,641111.552319922,998937.341991723,
AL,2703205,Igreja Nova,493881.577159563,859471.359544758,
AL,2703304,Inhapi,318877.640153252,542505.820965845,
AL,2703403,Jacaré dos Homens,125980.648134585,203788.422857974,
AL,2703502,Jacuípe,182775.297201722,289865.650919158,
AL,2703601,Japaratinga,213464.574159625,288052.262176393,
AL,2703700,Jaramataia,107806.711770569,232845.211667937,
AL,2703759,Jequiá da Praia,,,
AL,2703809,Joaquim Gomes,608999.164238809,761888.759076238,
AL,2703908,Jundiá,468757.771086554,190647.716837502,
AL,2704005,Junqueiro,608570.946071929,1033646.46195779,
AL,2704104,Lagoa da Canoa,441433.055817415,854496.120012898,
AL,2704203,Limoeiro de Anadia,463695.670830425,922330.606207852,
AL,2704302,Maceió,42549628.2113596,65647465.3513111,
AL,2704401,Major Isidoro,489298.123168652,656078.589622228,
AL,2704500,Maragogi,463807.546073488,970418.840783598,
AL,2704609,Maravilha,317120.697726019,466123.95844584,
AL,2704708,Marechal Deodoro,902020.639531793,1785997.01485203,
AL,2704807,Maribondo,431196.085097677,712385.079140236,
AL,2704906,Mar Vermelho,122301.165981176,182990.863491759,
AL,2705002,Mata Grande,664679.370445403,854212.240639188,
AL,2705101,Matriz de Camaragibe,666465.411931759,1036520.00828532,
AL,2705200,Messias,333641.328432499,502268.197833062,
AL,2705309,Minador do Negrão,271083.258095254,209705.86125748,
AL,2705408,Monteirópolis,147462.116380591,239629.528833707,
AL,2705507,Murici,875909.439297023,1046209.89839166,
AL,2705606,Novo Lino,404504.84076109,388700.218219612,
AL,2705705,Olho d'Água das Flores,513663.818896792,836753.888270728,
AL,2705804,Olho d'Água do Casado,160056.114796053,240710.260191061,
AL,2705903,Olho d'Água Grande,104871.594040757,164343.849063174,
AL,2706000,Olivença,244855.583174165,350223.495526016,
