População
Sigla,Código,Município,2000,
AC,1200013,Acrelândia,7935,
AC,1200054,Assis Brasil,3490,
AC,1200104,Brasiléia,17013,
AC,1200138,Bujari,5826,
AC,1200179,Capixaba,5206,
AC,1200203,Cruzeiro do Sul,67441,
AC,1200252,Epitaciolândia,11028,
AC,1200302,Feijó,26722,
AC,1200328,Jordão,4454,
AC,1200336,Mâncio Lima,11095,
AC,1200344,Manoel Urbano,6374,
AC,1200351,Marechal Thaumaturgo,8295,
AC,1200385,Plácido de Castro,15172,
AC,1200393,Porto Walter,5485,
AC,1200401,Rio Branco,253059,
AC,1200427,Rodrigues Alves,8093,
AC,1200435,Santa Rosa do Purus,2246,
AC,1200450,Senador Guiomard,19761,
AC,1200500,Sena Madureira,29420,
AC,1200609,Tarauacá,26037,
AC,1200708,Xapuri,11956,
AC,1200807,Porto Acre,11418,
AL,2700102,Água Branca,18660,
AL,2700201,Anadia,17849,
AL,2700300,Arapiraca,186466,
AL,2700409,Atalaia,40552,
AL,2700508,Barra de Santo Antônio,11351,
AL,2700607,Barra de São Miguel,6379,
AL,2700706,Batalha,14799,
AL,2700805,Belém,5919,
AL,2700904,Belo Monte,6822,
AL,2701001,Boca da Mata,24227,
AL,2701100,Branquinha,11325,
AL,2701209,Cacimbinhas,9552,
AL,2701308,Cajueiro,18975,
AL,2701357,Campestre,6223,
AL,2701407,Campo Alegre,41028,
AL,2701506,Campo Grande,9134,
AL,2701605,Canapi,17334,
AL,2701704,Capela,18693,
AL,2701803,Carneiros,6585,
AL,2701902,Chã Preta,7760,
AL,2702009,Coité do Nóia,11993,
AL,2702108,Colônia Leopoldina,17493,
AL,2702207,Coqueiro Seco,5134,
AL,2702306,Coruripe,48846,
AL,2702355,Craíbas,20789,
AL,2702405,Delmiro Gouveia,42995,
AL,2702504,Dois Riachos,11066,
AL,2702553,Estrela de Alagoas,16341,
AL,2702603,Feira Grande,21270,
AL,2702702,Feliz Deserto,3836,
AL,2702801,Flexeiras,11979,
AL,2702900,Girau do Ponciano,29574,
AL,2703007,Ibateguara,15105,
AL,2703106,Igaci,25584,
AL,2703205,Igreja Nova,21451,
AL,2703304,Inhapi,17768,
AL,2703403,Jacaré dos Homens,5720,
AL,2703502,Jacuípe,7313,
AL,2703601,Japaratinga,6868,
AL,2703700,Jaramataia,5788,
AL,2703759,Jequiá da Praia,,
AL,2703809,Joaquim Gomes,21488,
AL,2703908,Jundiá,4680,
AL,2704005,Junqueiro,23832,
AL,2704104,Lagoa da Canoa,19988,
AL,2704203,Limoeiro de Anadia,24263,
AL,2704302,Maceió,797759,
AL,2704401,Major Isidoro,17639,
AL,2704500,Maragogi,21832,
AL,2704609,Maravilha,13687,
AL,2704708,Marechal Deodoro,35866,
AL,2704807,Maribondo,15145,
AL,2704906,Mar Vermelho,4078,
AL,2705002,Mata Grande,25032,
AL,2705101,Matriz de Camaragibe,24017,
AL,2705200,Messias,11990,
AL,2705309,Minador do Negrão,5399,
AL,2705408,Monteirópolis,7240,
AL,2705507,Murici,24671,
AL,2705606,Novo Lino,10375,
AL,2705705,Olho d'Água das Flores,19417,
AL,2705804,Olho d'Água do Casado,7059,
AL,2705903,Olho d'Água Grande,4847,
AL,2706000,Olivença,10369,
AL,2706109,Ouro Branco,10077,
AL,2706208,Palestina,4523,
AL,2706307,Palmeira dos Índios,68060,
AL,2706406,Pão de Açúcar,24351,
AL,2706422,Pariconha,10086,
AL,2706448,Paripueira,8049,
