Poupança
Sigla,Código,Município,1991,1996,2000,2001,2002,
AC,1200013,Acrelândia,,,,,,
AC,1200054,Assis Brasil,0,84.2918512866,,,,
AC,1200104,Brasiléia,1621.3842580508,915.6627409747,1247.8397103771,1383.4632337765,1426.211352621,
AC,1200138,Bujari,,,,,,
AC,1200179,Capixaba,,,,,,
AC,1200203,Cruzeiro do Sul,6290.4115723943,12279.5536302064,22664.3902598394,27875.7255739528,33908.6138448275,
AC,1200252,Epitaciolândia,,,,,,
AC,1200302,Feijó,1160.0000382867,543.4188745015,1036.9379808392,1228.9220991707,967.6963084602,
AC,1200328,Jordão,,,,,,
AC,1200336,Mâncio Lima,0,90.7236908856,,,,
AC,1200344,Manoel Urbano,0,79.1721675063,,,,
AC,1200351,Marechal Thaumaturgo,,,,,,
AC,1200385,Plácido de Castro,430.5355097367,603.3674440893,,,,
AC,1200393,Porto Walter,,,,,,
AC,1200401,Rio Branco,54556.7429379537,122632.758107492,178575.40366944,195456.545052565,222626.769069528,
AC,1200427,Rodrigues Alves,,,,,,
AC,1200435,Santa Rosa do Purus,,,,,,
AC,1200450,Senador Guiomard,1201.7116076923,641.212815565,,,,
AC,1200500,Sena Madureira,3126.6686359507,3407.6812056273,3900.3260133464,3765.6920145716,4674.3568045269,
AC,1200609,Tarauacá,3729.1813650126,2579.926646714,4429.99273965,4858.3182153308,5526.8107340576,
AC,1200708,Xapuri,1191.2621526494,678.0775774476,,,,
AC,1200807,Porto Acre,,,,,,
AL,2700102,Água Branca,1804.5778122785,1723.8028377556,,,,
AL,2700201,Anadia,2527.8833324186,1692.5368149885,,,,
AL,2700300,Arapiraca,19775.0992428792,40808.9445770494,75167.8195381879,74331.8181433987,80687.7299332619,
AL,2700409,Atalaia,9520.9554817255,5535.5660979901,5046.5585982332,5319.4010112042,4796.0678178609,
AL,2700508,Barra de Santo Antônio,,,,,,
AL,2700607,Barra de São Miguel,,,,,,
AL,2700706,Batalha,1813.5971398262,4531.5099491509,4498.0237576795,6700.0879320306,3729.9741763644,
AL,2700805,Belém,,,,,,
AL,2700904,Belo Monte,,,,,,
AL,2701001,Boca da Mata,5138.2151248617,2380.0822186623,6127.5240300989,3458.6580844412,4999.2019356246,
AL,2701100,Branquinha,,,,,,
AL,2701209,Cacimbinhas,967.4054051439,327.6702109859,,,,
AL,2701308,Cajueiro,,,,,,
AL,2701357,Campestre,,,,,,
AL,2701407,Campo Alegre,,,,,,
AL,2701506,Campo Grande,1010.3693410443,363.416342715,,,,
AL,2701605,Canapi,1195.7832586139,432.4114294592,1407.3710199313,1385.4343951122,1102.9525092553,
AL,2701704,Capela,0,5254.3584042106,5496.3650148385,6475.8386062306,7213.6273139898,
AL,2701803,Carneiros,,,,,,
AL,2701902,Chã Preta,,,,,,
