Renda per capita
Sigla,Código,Município,1991,2000,
AC,1200013,Acrelândia,102.228,136.539,
AC,1200054,Assis Brasil,91.83,115.16,
AC,1200104,Brasiléia,95.391,132.383,
AC,1200138,Bujari,103.562,118.815,
AC,1200179,Capixaba,117.352,108.164,
AC,1200203,Cruzeiro do Sul,101.907,140.199,
AC,1200252,Epitaciolândia,113.35,134.364,
AC,1200302,Feijó,78.044,64.546,
AC,1200328,Jordão,32.716,34.527,
AC,1200336,Mâncio Lima,58.729,95.012,
AC,1200344,Manoel Urbano,65.101,91.65,
AC,1200351,Marechal Thaumaturgo,41.698,51.68,
AC,1200385,Plácido de Castro,80.905,114.435,
AC,1200393,Porto Walter,38.273,69.52,
AC,1200401,Rio Branco,219.497,264.433,
AC,1200427,Rodrigues Alves,43.797,65.194,
AC,1200435,Santa Rosa do Purus,81.892,45.117,
AC,1200450,Senador Guiomard,117.324,152.534,
AC,1200500,Sena Madureira,87.26,107.644,
AC,1200609,Tarauacá,69.158,91.973,
AC,1200708,Xapuri,97.665,122.962,
AC,1200807,Porto Acre,85.101,110.634,
AL,2700102,Água Branca,45.133,69.936,
AL,2700201,Anadia,59.602,85.302,
AL,2700300,Arapiraca,113.408,129.207,
AL,2700409,Atalaia,57.249,75.91,
AL,2700508,Barra de Santo Antônio,51.777,68.398,
AL,2700607,Barra de São Miguel,77.517,108.927,
AL,2700706,Batalha,75.039,119.851,
AL,2700805,Belém,61.604,69.912,
AL,2700904,Belo Monte,44.714,59.404,
AL,2701001,Boca da Mata,65.955,85.006,
AL,2701100,Branquinha,41.202,58.419,
AL,2701209,Cacimbinhas,70.65,69.761,
AL,2701308,Cajueiro,57.966,63.151,
AL,2701357,Campestre,57.793,73.037,
AL,2701407,Campo Alegre,75.577,66.305,
AL,2701506,Campo Grande,46.394,58.508,
AL,2701605,Canapi,51.596,43.352,
AL,2701704,Capela,54.022,72.177,
AL,2701803,Carneiros,51.411,61.277,
AL,2701902,Chã Preta,47.417,62.213,
AL,2702009,Coité do Nóia,71.77,62.863,
AL,2702108,Colônia Leopoldina,49.572,76.174,
AL,2702207,Coqueiro Seco,85.263,94.643,
AL,2702306,Coruripe,79.149,92.477,
AL,2702355,Craíbas,53.044,57.91,
AL,2702405,Delmiro Gouveia,73.408,110.1,
AL,2702504,Dois Riachos,51.929,72.809,
AL,2702553,Estrela de Alagoas,50.469,50.607,
AL,2702603,Feira Grande,47.85,68.2,
AL,2702702,Feliz Deserto,71.292,74.455,
AL,2702801,Flexeiras,51.779,64.342,
AL,2702900,Girau do Ponciano,53.465,54.849,
AL,2703007,Ibateguara,51.452,71.705,
AL,2703106,Igaci,47.693,47.942,
AL,2703205,Igreja Nova,46.766,57.486,
AL,2703304,Inhapi,42.258,50.405,
AL,2703403,Jacaré dos Homens,62.021,97.353,
AL,2703502,Jacuípe,58.538,57.698,
AL,2703601,Japaratinga,61.597,81.453,
AL,2703700,Jaramataia,46.31,68.347,
AL,2703759,Jequiá da Praia,,,
AL,2703809,Joaquim Gomes,50.027,61.095,
AL,2703908,Jundiá,66.135,61.721,
AL,2704005,Junqueiro,72.981,81.1,
AL,2704104,Lagoa da Canoa,54.163,61.678,
AL,2704203,Limoeiro de Anadia,49.44,63.32,
AL,2704302,Maceió,231.815,282.991,
AL,2704401,Major Isidoro,61.531,62.861,
AL,2704500,Maragogi,58.257,72.425,
AL,2704609,Maravilha,47.102,48.214,
AL,2704708,Marechal Deodoro,73.207,111.104,
AL,2704807,Maribondo,84.621,100.253,
AL,2704906,Mar Vermelho,59.036,71.663,
AL,2705002,Mata Grande,43.623,60.854,
AL,2705101,Matriz de Camaragibe,52.723,65.618,
AL,2705200,Messias,77.897,74.336,
AL,2705309,Minador do Negrão,54.341,63.661,
AL,2705408,Monteirópolis,41.187,80.603,
AL,2705507,Murici,58.51,76.961,
AL,2705606,Novo Lino,82.308,65.104,
AL,2705705,Olho d'Água das Flores,75.589,92.289,
AL,2705804,Olho d'Água do Casado,65.632,50.357,
AL,2705903,Olho d'Água Grande,37.906,48.345,
AL,2706000,Olivença,38.766,45.525,
AL,2706109,Ouro Branco,45.225,66.294,
AL,2706208,Palestina,47.617,62.324,
AL,2706307,Palmeira dos Índios,92.535,117.271,
AL,2706406,Pão de Açúcar,72.642,85.242,
AL,2706422,Pariconha,41.212,52.683,
AL,2706448,Paripueira,52.286,85.246,
AL,2706505,Passo de Camaragibe,63.704,67.878,
AL,2706604,Paulo Jacinto,47.777,66.889,
AL,2706703,Penedo,100.858,125.91,
AL,2706802,Piaçabuçu,80.152,82.96,
AL,2706901,Pilar,81.883,89.037,
AL,2707008,Pindoba,55.731,66.55,
AL,2707107,Piranhas,118.919,89.374,
AL,2707206,Poço das Trincheiras,38.059,37.608,
AL,2707305,Porto Calvo,77.114,68.165,
AL,2707404,Porto de Pedras,46.973,52.193,
AL,2707503,Porto Real do Colégio,54.104,60.905,
AL,2707602,Quebrangulo,65.075,74.717,
AL,2707701,Rio Largo,90.329,112.41,
AL,2707800,Roteiro,60.992,64.805,
AL,2707909,Santa Luzia do Norte,78.381,85.9,
AL,2708006,Santana do Ipanema,62.286,94.669,
AL,2708105,Santana do Mundaú,54.81,65.57,
AL,2708204,São Brás,47.277,64.617,
AL,2708303,São José da Laje,61.803,85.15,
AL,2708402,São José da Tapera,33.364,43.492,
AL,2708501,São Luís do Quitunde,62.806,70.113,
AL,2708600,São Miguel dos Campos,96.895,121.78,
AL,2708709,São Miguel dos Milagres,56.368,79.886,
AL,2708808,São Sebastião,48.586,71.01,
AL,2708907,Satuba,93.854,129.553,
AL,2708956,Senador Rui Palmeira,40.176,41.426,
AL,2709004,Tanque d'Arca,52.228,66.335,
AL,2709103,Taquarana,50.589,63.425,
AL,2709152,Teotônio Vilela,63.393,82.563,
AL,2709202,Traipu,34.216,42.034,
AL,2709301,União dos Palmares,73.343,91.359,
AL,2709400,Viçosa,67.949,90.905,
AM,1300029,Alvarães,103.995,91.949,
AM,1300060,Amaturá,70.054,68.124,
AM,1300086,Anamã,83.463,96.833,
AM,1300102,Anori,84.257,91.119,
AM,1300144,Apuí,137.351,130.077,
AM,1300201,Atalaia do Norte,98.094,74.947,
AM,1300300,Autazes,103.74,87.615,
AM,1300409,Barcelos,106.083,68.854,
AM,1300508,Barreirinha,76.957,61.809,
AM,1300607,Benjamin Constant,114.239,76.275,
AM,1300631,Beruri,58.438,67.953,
